Country,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015,Q1-2016,Q2-2016,Q3-2016,Q4-2016,Q1-2017,Q2-2017,Q3-2017,Q4-2017,Q1-2018,Q2-2018,Q3-2018,Q4-2018,Q1-2019,Q2-2019,Q3-2019,Q4-2019,Q1-2020,Q2-2020,Q3-2020,Q4-2020,Q1-2021,Q2-2021,Q3-2021,Q4-2021,Q1-2022,Q2-2022,Q3-2022,Q4-2022
Bulgaria,0.5,4.2,6.0,13.1,3.5,3.6,4.0,4.5,5.3,5.9,6.1,5.7,5.6,5.0,4.7,5.7,5.5,6.5,7.5,6.9,7.7,7.2,6.4,6.6,6.1,6.4,7.2,7.2,7.1,7.3,6.5,7.0,7.2,6.4,6.2,4.5,-1.7,-2.7,-3.0,-6.5,-0.7,0.8,0.7,4.9,3.5,2.8,2.1,1.0,1.6,0.4,0.1,-0.2,-1.1,-1.0,-0.4,0.1,0.3,1.2,1.1,1.9,3.0,3.0,3.7,3.5,3.3,3.3,2.7,3.0,2.8,2.7,2.9,2.6,2.5,2.7,3.0,3.3,4.1,4.4,3.5,3.8,-1.4,-7.2,-4.0,-3.4,3.1,9.8,8.1,7.8,5.6,5.0,3.7,2.7
Croatia,3.9,1.0,3.3,3.7,1.7,3.8,3.4,3.4,4.6,4.9,6.3,7.1,6.3,6.4,5.0,4.7,4.9,3.6,3.7,4.6,1.5,5.2,5.4,4.6,6.6,4.2,4.7,4.8,6.6,5.9,4.6,3.2,3.8,3.3,1.5,-0.6,-8.0,-8.1,-7.9,-4.8,-1.0,-2.3,0.2,-1.9,-1.2,1.5,-0.4,-0.0,-0.8,-3.2,-2.4,-2.6,-1.2,0.2,-0.5,-0.1,-0.8,-0.6,-0.7,0.4,1.9,1.8,4.1,1.9,4.5,3.3,2.0,4.9,2.7,3.5,4.1,2.9,1.9,3.5,2.7,3.1,4.9,3.6,3.3,2.1,-1.3,-16.1,-11.5,-3.7,3.9,21.2,17.8,11.8,7.7,8.9,5.8,3.3
Czechia,3.9,4.4,4.8,4.1,4.0,3.2,2.3,2.6,1.2,1.5,1.7,1.6,2.9,3.4,3.9,4.1,4.1,4.3,4.6,5.7,6.4,6.7,6.8,6.8,6.9,7.3,7.0,6.5,6.4,5.2,5.4,5.3,4.1,4.0,2.8,-0.6,-4.3,-5.4,-5.2,-3.2,0.9,2.5,2.7,3.1,3.0,2.1,1.2,0.8,0.1,-0.8,-1.0,-1.2,-1.4,-0.5,0.2,1.6,1.5,2.0,2.8,2.7,5.3,5.7,5.7,5.1,3.4,2.3,2.0,2.2,3.7,5.9,5.9,5.9,4.7,2.8,2.7,2.6,3.0,3.1,3.0,2.8,-1.5,-10.8,-5.2,-4.6,-1.9,9.2,3.8,3.4,4.7,3.4,1.4,0.1
Estonia,8.5,10.3,10.5,10.1,7.6,5.1,6.0,5.2,4.4,7.9,7.9,7.1,8.8,7.5,6.5,8.5,8.5,5.3,6.6,6.1,5.5,10.4,10.6,10.8,11.4,9.4,9.3,9.5,10.6,8.7,6.5,3.3,-2.2,-1.6,-1.8,-12.8,-13.2,-17.0,-18.7,-7.4,-3.5,1.1,4.7,6.4,7.0,7.7,7.9,5.7,4.2,3.5,2.3,3.2,3.1,1.6,0.9,-0.1,1.1,1.8,3.4,5.0,1.8,3.4,2.8,1.1,4.2,2.0,2.4,3.8,4.2,6.3,5.5,5.8,4.4,3.4,4.0,3.6,4.7,4.2,3.6,3.2,1.1,-4.6,-0.5,1.2,4.4,12.5,7.2,5.7,2.7,-0.5,-0.7,-3.2
Greece,3.3,3.3,4.8,4.7,5.6,4.3,4.1,2.9,2.5,5.0,3.9,4.5,5.8,5.3,5.3,6.8,6.5,4.6,5.4,2.8,0.3,0.6,0.6,1.5,5.5,5.5,4.6,6.7,2.5,5.2,4.0,1.0,2.4,-1.1,-0.6,-1.5,-6.8,-3.6,-4.2,-2.7,-3.6,-9.6,-12.0,-12.6,-11.1,-9.3,-8.2,-12.0,-8.2,-8.4,-7.9,-4.2,-5.1,-3.2,-1.5,-0.2,0.5,0.5,1.4,-0.2,0.6,0.5,-2.4,0.4,-1.2,-1.3,0.9,-0.3,0.7,1.3,2.0,0.3,1.9,1.7,0.5,2.2,1.5,2.3,2.1,1.3,-1.6,-16.0,-10.7,-7.7,-2.2,14.7,11.9,9.1,7.7,6.9,4.1,4.2
Hungary,5.1,5.0,4.0,4.8,4.5,4.4,4.3,3.1,4.8,4.5,4.6,5.0,3.5,4.0,4.3,4.1,5.0,5.0,5.1,4.4,3.6,4.6,4.1,4.9,4.7,4.1,3.9,3.8,1.7,0.1,0.1,-0.6,1.8,2.4,1.6,-2.3,-7.2,-7.6,-7.4,-4.2,0.1,0.8,1.6,1.6,2.6,1.6,1.0,2.3,-0.2,-1.0,-0.8,-2.2,-0.5,1.4,2.7,3.7,4.2,4.6,4.0,3.7,4.5,3.3,3.1,3.6,1.5,2.6,2.4,2.2,4.1,4.1,4.5,5.1,5.5,5.1,5.7,5.3,5.5,4.9,4.8,4.3,1.9,-13.2,-4.3,-3.3,-1.8,17.5,6.5,7.4,7.7,6.4,3.9,0.5
Latvia,6.3,7.7,7.1,2.4,3.8,9.0,3.4,8.2,5.6,5.0,8.6,9.3,10.1,8.4,9.5,6.6,9.6,8.4,6.6,7.8,6.8,8.0,12.8,14.4,10.6,13.4,11.7,12.5,15.2,12.1,10.4,4.4,4.7,-1.0,-6.8,-8.0,-12.9,-15.0,-15.8,-13.4,-10.7,-6.0,-1.3,-0.8,-1.5,2.6,4.6,3.8,10.6,6.3,6.0,6.3,1.5,2.1,2.2,2.5,2.2,2.7,1.8,1.4,3.0,4.0,4.3,3.6,3.9,1.6,1.0,2.3,2.1,3.7,4.0,3.4,3.1,3.9,4.8,4.9,2.1,1.2,0.2,-1.1,-1.2,-8.9,-2.8,-1.0,0.9,11.6,7.3,6.1,7.1,4.5,0.9,1.6
Lithuania,1.5,2.1,5.0,6.4,6.6,5.9,6.4,7.3,4.9,7.8,7.5,6.6,11.2,9.4,10.6,10.9,7.2,7.6,5.3,5.9,7.2,6.9,9.1,8.6,7.2,7.9,6.9,7.8,10.6,10.9,12.0,10.9,6.6,4.6,0.6,-1.9,-14.1,-15.8,-14.3,-14.6,-1.2,1.3,1.4,4.9,6.1,6.3,6.7,5.4,4.0,3.2,4.4,3.7,3.8,4.2,2.9,3.7,4.2,3.8,3.4,2.5,1.8,1.9,2.2,2.1,2.0,2.1,2.6,3.6,4.4,4.4,4.2,4.0,3.9,4.3,3.7,4.1,4.6,4.8,4.6,4.5,2.6,-4.1,1.4,0.5,2.7,10.1,5.7,6.5,5.2,2.9,1.8,0.1
Poland,6.4,5.3,3.6,4.0,2.9,1.5,1.7,-0.2,0.9,1.9,2.4,2.9,2.6,3.6,3.9,4.2,6.1,5.2,3.8,4.1,2.5,2.1,4.2,4.9,5.7,7.7,7.4,4.0,7.0,6.0,6.1,9.1,5.9,5.2,3.4,2.2,2.2,1.8,2.5,4.0,2.0,3.3,3.7,3.3,5.3,5.1,5.1,4.8,3.5,2.1,1.0,0.1,-0.4,0.6,1.3,1.9,3.4,3.7,3.8,4.1,4.4,3.9,4.4,4.4,2.5,3.4,2.7,3.8,5.3,4.8,5.7,5.1,5.8,6.2,6.0,5.5,5.1,4.6,4.1,3.8,3.0,-7.2,-1.7,-2.2,-0.6,12.2,7.3,9.1,10.1,6.5,5.0,0.8
Romania,-1.9,5.9,1.3,3.8,7.4,-1.6,6.8,7.8,6.4,9.5,4.6,3.7,0.9,2.1,3.8,2.2,8.2,7.3,11.1,13.5,8.1,5.7,2.6,3.9,8.4,8.4,9.4,6.3,7.4,7.0,5.6,8.7,8.3,10.9,11.2,7.0,-5.5,-7.3,-5.4,-4.3,-1.5,-0.6,-7.0,-4.9,3.2,3.4,9.4,2.0,5.4,2.9,-1.4,2.0,-4.5,-1.9,1.9,3.8,5.7,3.5,4.2,3.6,3.7,4.5,2.4,2.5,3.2,2.0,2.7,3.3,5.3,8.8,9.2,8.6,6.6,5.4,6.5,5.7,3.8,4.0,3.3,4.3,2.4,-9.4,-5.3,-1.6,1.2,12.6,7.1,2.6,4.6,4.5,4.1,5.0
Slovak Republic,-1.7,1.0,2.2,3.3,2.9,3.0,2.7,4.4,4.0,3.9,5.9,4.3,5.8,6.3,4.4,5.5,5.0,4.1,6.1,5.9,5.9,7.4,6.7,6.6,7.8,8.0,8.3,9.8,9.5,9.6,10.1,13.9,8.4,7.1,6.2,1.0,-6.1,-5.7,-5.4,-4.6,7.8,7.3,6.6,5.2,3.4,2.9,2.2,2.2,2.1,1.6,1.2,0.3,0.1,0.3,0.7,1.4,2.0,2.4,2.9,3.5,4.8,5.3,5.5,5.1,3.1,2.1,1.3,1.2,2.0,2.7,3.2,3.8,3.9,4.2,4.4,3.7,3.5,2.6,1.9,2.0,-1.9,-9.5,-1.1,-0.9,2.0,12.2,2.9,2.7,3.2,1.5,1.3,1.0
Slovenia,5.0,1.7,5.6,4.6,4.0,3.5,2.8,3.0,3.3,2.9,3.3,4.1,2.7,3.1,3.3,2.3,4.0,4.2,3.8,3.6,3.1,4.0,4.0,5.4,5.2,5.7,6.5,7.0,8.0,7.2,7.6,5.6,5.8,5.4,2.9,-1.1,-7.6,-9.5,-8.8,-5.5,-0.7,1.7,1.7,2.4,3.2,1.1,0.6,0.1,-1.7,-2.4,-2.1,-4.2,-2.8,-1.4,-1.5,2.5,2.2,2.9,3.5,1.6,2.1,1.9,1.8,1.8,2.2,3.0,3.5,4.2,5.2,4.9,4.8,6.1,4.5,4.8,5.1,3.8,4.9,3.2,3.0,2.6,-2.6,-11.2,-1.8,-4.4,3.7,15.3,5.8,9.6,4.9,4.2,1.6,1.0


